important_features,category
10851, Legion Raid
963, Hallow's End
3077, Raids
1166, Alterac Valley
8017, Pandaria Scenarios
9034, Draenor Dungeon
2047, Lich King Raid
6902, Dungeons
7377, Archaeology
7523, Pandaria Scenarios
13781, Dungeons
7333, Archaeology
13711, Battle for Azeroth
420, Player vs. Player
2934, Raids
1030, Midsummer
5320, Cataclysm
8235, Archaeology
10762, Cooking
9728, Draenor
4872, Cataclysm
1856, Lich King Raid
2943, Raids
12721, Battle Dungeon
668, The Burning Crusade
8329, Pandaria Scenarios
730, Professions
7376, Archaeology
8014, Pandaria Scenarios
1996, Lich King Raid
2996, Raids
1832, Exploration
965, Hallow's End
12595, Island Expeditions
12851, Battle for Azeroth
11681, Legion
2942, Raids
4978, Kalimdor
2192, Player vs. Player
5211, Twin Peaks
6475, Pandaria Dungeon
3186, Raids
1273, Outland
3804, Lich King Dungeon
10608, Archaeology
4524, Lich King Dungeon
6885, Dungeons
2961, Raids
7374, Archaeology
144, Fishing
783, Eye of the Storm
35, Northrend
966, Hallow's End
9081, Draenor Dungeon
8893, Dungeons
2982, Raids
7944, Legacy
11724, Legion Raid
4932, Kalimdor
259, Winter Veil
8998, Dungeons
12876, War Effort
12575, World
12104, Legion
6903, Dungeons
6914, Dungeons
9256, Ashran
11258, Legion
9002, Dungeons
7335, Archaeology
13026, Battle for Azeroth
8889, Dungeons
4523, Lich King Dungeon
4176, Isle of Conquest
7359, Archaeology
7276, Pandaria Scenarios
6918, Dungeons
6886, Dungeons
11065, Events
7338, Archaeology
10875, Legion Dungeon
1192, Outland
8015, Pandaria Scenarios
8009, Pandaria Scenarios
13080, Dungeons
11265, Legion
6917, Dungeons
1255, Winter Veil
13098, Island Expeditions
500, Lich King Dungeon
8884, Dungeons
4817, Lich King Raid
912, Lunar Festival
11337, Legion Raid
6531, Pandaria Dungeon
2905, Raids
10307, Draenor Garrison
1596, Northrend
7339, Archaeology
10766, Legion Dungeon
2185, Lich King Raid
12507, Battle Dungeon
9636, Draenor
4926, Kalimdor
13569, World
8791, Player vs. Player
2944, Raids
7349, Archaeology
7344, Archaeology
6899, Dungeons
7321, Pandaria
5750, Cataclysm Dungeon
6908, Dungeons
11260, Legion
9494, Draenor Garrison
13106, Island Expeditions
